id,path,title,version,source_class,status,disposition,intended_target,wording_fidelity,supersedes,dependencies,processing_order,sha256,bytes,notes
RULE_BSA,500 log/MEDIAN_v0_5_0_CATCHALL_3_Baseline_Disposition_Ledger_Checkpoint_2026-07-30.md,Baseline Disposition Ledger Checkpoint 2026-07-30 (CATCHALL_3),—,human_ruling,active,compile,body,SEMANTIC,,PASS_BSA,5,9d63e0293dfe68f369873b896b7b21979632f0bf96c61e4c1c49489421e5be2d,48799,"Top substantive authority. 21 Adopted markers, BSA-01..BSA-11A. Sole source for Deep Laws, literacy, Chronicle/Tale, Supply and Tool classes, Provisioning, winter cultivation, weapon prohibition. NEVER EXACT wording. Honour in-document non-STATE markers as weight SILENT. Internal supersession applies: later rulings beat earlier ones within this file."
SPEC_HOME,500 log/old/MEDIAN_V0-5_Home_Loop_Rework_Specification.docx,Home Loop Rework Specification,—,detailed_spec,active,compile,body,SEMANTIC,,,10,e494ff825a2c7eb472234af41a561e4c19913c2964bd2955acbcd9cf03b74fa4,4182520,Phase 1-5 pilot document.
SPEC_AWAY,500 log/old/MEDIAN_v0_5_0_Away_Mode_Specification_v1_0.docx,Away Mode Specification,1.0,detailed_spec,active,compile,body,SEMANTIC,,,11,bcfb98ccd041b3315c6dbeb3549246e27c0ffa1ce3fba6765382a7c05254f66b,70228,
SPEC_EMBOD,500 log/old/MEDIAN_V0-5_Embodiment_Register_Specification_v2_0.docx,Embodiment Register Specification,2.0,detailed_spec,active,compile,body,SEMANTIC,,,12,361cb622c73e89d9019026185fe4c7f89d152da5db8917fa8ee1213c9ff593f1,2672242,
SPEC_CROSS,500 log/old/MEDIAN_v0.5.0_Crossing_Register_Specification_v0.1.docx,Crossing Register Specification,0.1,detailed_spec,active,compile,body,SEMANTIC,,,13,dfb36b359f84b15845b1dc7108987b42abf129e2b9f0a05049448dd53116eff6,43516,
SPEC_GUEST,500 log/old/MEDIAN_v0_5_0_Guest_Citizen_Specification_v2_0.docx,Guest Citizen Specification,2.0,detailed_spec,active,compile,body,SEMANTIC,SPEC_GUEST,,14,c8b3ea9ca618f9c330c171af00877cff87327619bba249968e25222c0987f278,80843,
SPEC_ITEMS,500 log/old/MEDIAN_v0.5.0_Personal_Items_Focus_and_Expedition_Equipment_Specification_v1.0.docx,"Personal Items, Focus and Expedition Equipment Specification",1.0,detailed_spec,active,compile,body,SEMANTIC,,,15,8f5fe90281fa903f1aa89a7f89eb13b22f53a55b7a82e6f8f7b280d898cf4ae1,48882,Phase 1-2 pilot document.
SPEC_POP,500 log/old/MEDIAN_v0_5_0_Population_Growth_and_Colony_Tiers_Specification_v1_0.docx,Population Growth and Colony Tiers Specification,1.0,detailed_spec,active,compile,body,SEMANTIC,,,16,6ab69bfa5e4b630e39201edd675dcdf3f480d29bed18677ff7524c73b3cb543c,61391,
SPEC_ECOL,500 log/old/MEDIAN_V0-5_Ecological_Influences_Specification_v1_0.docx,Ecological Influences Specification,1.0,detailed_spec,active,compile,body,SEMANTIC,,,17,21bf93bccbb4af64fe432a2c208a6e38c197c41ff6d7609642747930c86b24b2,8960221,Phase 1-2 pilot document. Heavy figure content.
SPEC_SPECIES,500 log/old/MEDIAN_v0.5.0_Core_Species_Traits_Specification_v0.1.docx,Core Species Traits Specification,0.1,detailed_spec,active,compile,body,SEMANTIC,,,18,db0b87358bc0cf2e9e7ec0c2829f4640caeb2679be8e9155d3da83daad8f8cbb,44941,
SPEC_PROG,500 log/old/MEDIAN_v0.5.0_Discovery_Time_Movement_and_Civic_Progression_Specification_v1.0.docx,"Discovery, Time, Movement and Civic Progression Specification",1.0,detailed_spec,active,compile,body,SEMANTIC,,,19,c0ce6d15e4248a2d1be7f16d9e6de83d3841bf9e2752b817d1ba3e5f0ef4670a,52437,
PASS_OVER,500 log/old/MEDIAN_v0.5.0_Overarching_Systems_Specification_v1.0.docx,Overarching Systems Specification (CATCHALL_4),1.0,supplementary_pass,active,compile,body,SEMANTIC,,,20,f7565e5816a45b65222aa79a59e745988becd17f47338fa88ffd861973571046,53604,Phase 1-2 pilot document.
PASS_047,500 log/old/MEDIAN_v0_5_0_FourSeven_Decisions_Specification_v1_0.docx,FourSeven Decisions Specification (CATCHALL_1),1.0,supplementary_pass,active,compile,body,SEMANTIC,,,21,9a979aa5636af1739482832c89be80d241207696f3cde90adbc8f4180d99695f,58473,
PASS_BSA,500 log/MEDIAN_v0.5.0_CATCHALL_2_Baseline Survivorship_Audit.md,Baseline Survivorship Audit (CATCHALL_2),—,supplementary_pass,active,compile,body,EDITORIAL,,,22,10f9eb1c725717051197630a083081b9042ff0843fd6edc739b23d7147a06f9c,24839,"Audit, not ruling. Most records weight SILENT. §III is a 38-row v0.4.6 survivorship ledger and seeds Stage 6. §IV holds 17 closed changes that must survive as negative canon."
PHIL_ARCH,500 log/old/MEDIAN_Philosophical_Architecture_v2.0.docx,Philosophical Architecture,2.0,philosophy,active,compile,body,SEMANTIC,PHIL_ARCH,,30,5298d4415dc3cb34ffaa6b485ed5381f7b0c9e04e31454fde4ca03d9aceeb5ec,54837,Late-developed overall master. Outranks PHIL_SPEC on conflict.
PHIL_SPEC,500 log/old/MEDIAN_V0-5_Philosophical_Specification.docx,Philosophical Specification,—,philosophy,active,compile,body,SEMANTIC,,,31,ac9ca8d6a1cdfd65e5c350d7785790fe354db9cdad86155b8a0ee8771c074910,55137,"Canon-eligible, but yields to PHIL_ARCH on conflict. Authored without Word heading styles; structure is carried by bolded single-line paragraphs, so pseudo-heading promotion is enabled. Every promotion is counted in the Phase 1 report."
APDX_PLAN,500 log/old/MEDIAN_v0.5.0_Appendix_Architecture_and_Content_Plan_v1.0.docx,Appendix Architecture and Content Plan,1.0,appendix,active,compile,appendix,SEMANTIC,,,40,5b428ab856a7e280157662671c815873eebab112ff2b700ebfad653bf3e8942b,48136,
RSCH_MKT,500 log/old/MEDIAN_v0_5_Market_Position_Comparative_Landscape_Specification_v1_1.docx,Market Position and Comparative Landscape Specification,1.1,research,active,compile,appendix,EDITORIAL,,,41,ea2b80d7863d8d403f8441efc110955cf8d9fa155ce4484112fc51be73940dd8,70213,Appendix material. May not establish core-world mechanics.
MANI_SPEC,500 log/old/MEDIAN_v0_5_Manifestations_Specification.docx,Manifestations Specification,—,manifestation,active,compile,appendix,SEMANTIC,,,42,415640ee2a3d01a7cee6ac8b28fa925c876319707fd0e47f84e368e169105b7a,658129,Appendix material. May not establish core-world mechanics.
MANI_BOARD,500 log/old/MEDIAN_v0_5_0_Board_Game_Manifestation_Initial_Draft.docx,Board Game Manifestation Initial Draft,—,manifestation,provisional,compile,appendix,SEMANTIC,,,43,b7cc23bc1a3833c7e4a53ba97d99ef63913f0254a450b95d10c85407dde59d55,650677,Appendix material. May not establish core-world mechanics.
BASE_046,100 canon/MEDIAN_GDD_v0.4.6.md,MEDIAN GDD v0.4.6,0.4.6,baseline,active,compile,body,SEMANTIC,,,90,f27830b4d223d99cae051118d6dcc1d5c2135e7018ef696a7ea13a70b941c69f,189069,"Baseline. Atomized at Stage 6, not with the v0.5 specs."
PHIL_ARCH,500 log/old/MEDIAN_Philosophical_Architecture_v1.0.docx,Philosophical Architecture,1.0,philosophy,superseded,superseded,tbd,SEMANTIC,,,999,e968fc171e4c72a0f03860ef9c36d455ed168e7d335668818b7b9e87347b65d2,48133,
