entry_id,occurred_at,compile_phase,provider,service,model,execution_mode,request_or_batch_id,input_tokens,output_tokens,cached_input_tokens,confirmed_cost_usd,unreconciled_upper_bound_usd,result,accounting_status,evidence,notes
COST-0001,2026-07-31,legacy_extraction,Anthropic,Claude,unspecified,mixed_or_unknown,,,,,4.930000,,abandoned_process,user_reported_confirmed,,Aggregate supplied by user; archived Claude compiler iteration
COST-0002,2026-08-02T02:48:09Z,calibration,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,,,,,,0.124348,failed_max_tokens,usage_unavailable_unreconciled,m050/extraction/runs/m050-crossing-calibration-20260802/reports/calibration/crossing_C0001_sonnet5_medium.failure.json,Modeled upper bound from frozen request; excluded from confirmed spend
COST-0003,2026-08-02,calibration,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddARtcanSh3HR8nEmQQn,2625,2551,0,0.030760,,rejected_prompt_defect,provider_usage_confirmed,m050/extraction/runs/m050-crossing-calibration-retry-20260802/raw/crossing_C0002_sonnet5_low.response.json,Completed response was not promoted
COST-0004,2026-08-02T03:08:32Z,calibration,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddBeC9jJJqktkreCLgWZ,3158,2269,0,0.029006,,rejected_grounding_and_semantic_calibration,provider_usage_confirmed,m050/extraction/runs/m050-crossing-calibration-v04-20260802/raw/crossing_C0002_sonnet5_low.response.json,Corrected ontology; one ungrounded marker and proposition-level semantic defects; not promoted
COST-0005,2026-08-02,calibration,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddCNBQknArdP1x6cQXQe,4066,3158,0,0.039712,,rejected_coordinate_and_status_calibration,provider_usage_confirmed,m050/extraction/runs/m050-crossing-calibration-v05-20260802/raw/crossing_C0002_sonnet5_low.response.json,All content grounded after diagnostic delimiter normalization; coordinate and status defects remain; not promoted
COST-0006,2026-08-02,provider_comparison,OpenAI,Responses API,gpt-5.6-sol,synchronous_single_call,resp_00c9e8776daa5fa7016a6eb9a215cc81a0b276371e3f66e1d6,2211,2136,0,0.077895,,rejected_semantic_review,provider_usage_confirmed,m050/extraction/runs/m050-crossing-provider-comparison-v06-20260802/raw/crossing_C0002_gpt56sol_low.response.json,2208 cache-write tokens and 274 reasoning tokens; local validation passed but semantic review rejected dependent-clause splitting and unsupported authority scopes
COST-0007,2026-08-02,provider_comparison,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddDSVySTdpmm9wdg83LF,4267,3562,0,0.044154,,rejected_semantic_review,provider_usage_confirmed,m050/extraction/runs/m050-crossing-provider-comparison-v06-20260802/raw/crossing_C0002_sonnet5_low.response.json,Same frozen prompt and chunk as OpenAI; local validation passed but semantic review rejected dependent-clause splitting and unsupported authority scopes
COST-0008,2026-08-02,final_acceptance,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddE3dqBxE5oSHjMbLVao,4244,3332,0,0.041808,,approved_extraction_calibration,provider_usage_confirmed,m050/extraction/runs/m050-crossing-final-acceptance-v07-20260802/raw/crossing_C0002_sonnet5_low.response.json,Passed automated and semantic review; extraction configuration approved
COST-0009,2026-08-02T03:45:47Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEUcBv9DXjqfQBS8FXj,4162,2727,0,0.035594,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0001_sonnet5_low.response.json,C0001 passed local validation
COST-0010,2026-08-02T03:46:08Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEW5qbr6E1Kvyz6kioQ,4244,3518,0,0.043668,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0002_sonnet5_low.response.json,C0002 passed local validation
